word,frequency
enak,448
makanan,299
tidak,266
makan,228
yg,159
bagus,149
makanannya,141
pelayanan,132
nya,120
nyaman,111
kopi,111
ramah,110
manado,99
tempatnya,93
menu,85
nasi,80
jam,76
harga,76
suasana,76
banget,75
babi,74
pesan,66
goreng,66
cocok,64
cepat,61
terbaik,61
tomohon,60
pelayanannya,59
ikan,58
orang,56
bersih,55
daging,53
minuman,51
pilihan,49
kurang,48
tuna,46
indah,45
kota,44
keluarga,44
suka,44
sate,42
pas,42
mie,42
pemandangan,42
ayam,40
malam,39
salah,38
kali,37
restoran,37
pesanan,36
gak,36
menikmati,36
lumayan,35
mantap,35
bakar,34
menunggu,33
siang,32
buruk,32
layanan,32
lezat,31
sambal,31
kalo,31
lokal,30
memiliki,30
resto,29
khas,29
terjangkau,29
anak,29
ok,29
luas,29
bitung,29
parkir,28
pelayan,28
oke,28
kasih,27
rumah,26
menunya,26
aja,26
gunung,26
so,25
harganya,25
dingin,25
mahal,25
kesini,25
nongkrong,25
tersedia,25
cafe,25
staf,25
suasananya,24
menit,24
lokasi,24
hidangan,24
kasir,23
disajikan,23
segar,23
sejuk,23
kamar,23
kuning,23
memesan,23
teman,23
porsi,22
ba,22
the,22
direkomendasikan,22
alam,22
bubur,22
taman,22
sesuai,21
langsung,21
terima,21
ga,21
sayang,21
rica,21
santai,21
lokon,21
ragey,20
ya,20
udah,20
menyenangkan,20
nda,19
mampir,19
murah,19
berbeda,19
meja,19
foto,19
belum,18
mencoba,18
jg,18
pisang,18
hotel,18
recommended,18
jalan,18
panas,17
dpe,17
sempurna,17
rahang,17
air,17
sarapan,17
ruangan,17
rekomendasi,17
minum,17
masuk,17
kopinya,17
sup,16
manis,16
bukan,16
pergi,16
klo,16
jangan,16
bunga,16
duduk,16
minahasa,16
food,16
tikus,16
cantik,16
tp,16
benarbenar,16
bintang,15
coba,15
tdk,15
dagingnya,15
halal,15
kerja,15
masakan,15
view,15
lantai,15
utk,15
pedas,15
mengecewakan,15
bgt,15
tenang,15
asin,15
kafe,15
gurih,14
mo,14
layak,14
habis,14
mobil,14
bilang,14
area,14
best,14
super,14
kuah,14
wajib,14
bersantai,14
tinutuan,14
kualitas,13
service,13
sayur,13
tau,13
pengalaman,13
kosong,13
telur,13
favorit,13
udara,13
kepala,13
kentang,13
b,13
panggang,13
ngopi,13
coto,13
pemiliknya,13
dikunjungi,12
lengkap,12
nd,12
lembut,12
order,12
krn,12
tradisional,12
utama,12
sih,12
es,12
nunggu,12
nikmat,12
puas,12
gorengnya,12
strategis,12
kacang,12
menginap,12
sapi,12
sederhana,12
pelayannya,12
proses,12
lokasinya,12
live,12
karna,12
ruang,12
kangkung,11
cita,11
sungguh,11
menakjubkan,11
ramai,11
kedai,11
menyajikan,11
paket,11
buka,11
woku,11
ikannya,11
teh,11
pusat,11
cap,11
indonesia,11
ac,11
k,11
lambat,11
musik,11
merekomendasikan,11
pakai,11
pizza,11
perkebunan,11
brenebon,10
tanpa,10
kuliner,10
porsinya,10
org,10
pelanggan,10
memuaskan,10
kursi,10
tamu,10
dgn,10
hati,10
makannya,10
bumbu,10
pake,10
istimewa,10
mohon,10
perkedel,10
butuh,10
menarik,10
cakalang,10
spot,10
kering,10
kelapa,10
biar,10
kumpul,10
tanaman,10
pemilik,10
good,10
mencari,9
tumis,9
lidah,9
sop,9
sore,9
penyajian,9
rb,9
asam,9
sdh,9
lapar,9
gula,9
da,9
kong,9
non,9
overall,9
biji,9
fresh,9
bad,9
lupa,9
pilih,9
tinggal,9
sayangnya,9
