place_name,address,review_author,review_text,review_rating,review_date,google_id
Ragey Von Von,,Jerry D,sup brenebon makan terakhir awal nov penampilan dapa lihat sudah bujang sup brenebon jadi sudah tidak makan,4,11/15/2025 02:37:38,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,KKH,dikunjungi di sini karena atributnya yang legendaris tetapi ditinggalkan dengan kekecewaan brenebon tidak ditawarkan tanya pria itu dan dia bahkan tidak mengucapkan sepatah kata pun orang di kasir tidak boleh mengambil peran itu daging babinya enak tapi belum lengkap tanpa supnya,4,11/14/2025 09:15:32,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Go Dive Indonesia,tempat legendaris untuk makan sate rageybabi di manado menghindari jam makan siang dan makan malam mencari tempat parkir bisa jadi rumit makanannya enak brenebon tumis kangkung dan star ragey tapi mereka juga punya sate babi manis,5,11/11/2025 06:35:49,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Djohanes Sitompul123,lezat sekali ragey lumer di lidah,5,10/31/2025 02:52:05,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Maureen Mandagie,ragey itu enak satenya juga manis harganya sesuai dengan rasanya satu lagiada nasi bungkus dan sop brenebon bagi yang sudah lama tidak pulang kampung ini bisa jadi obat mujarab untuk kerinduan akan kuliner nonhalal yang jarang ditemui di jakarta pelayanan ramah dan cepat,5,10/19/2025 03:02:06,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Verenica Mangundap,harga per kwintal hanya berdasarkan pncucu ragey kangkung sudah hitam pliss tidak worthit sekali sangat sekali,1,09/23/2025 10:21:26,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Joel Abednego,kemarahan terbaik di tomohon berasap gurih lembut direndam semalaman dan dibakar di atas arang asli disajikan dengan nasi panas kangkung berbau bawang putin dan sambal buatan sendiri yang rasanya pas porsinya besar rasanya dalam dan anda pasti akan memimpikannya nanti tempatnya tidak mewah bangku plastik panggangan terbuka obrolan lokal tapi itulah intinya anda di sini untuk makanan yang jujur berani dan tak terlupakan bukan dekorasi harga bukan yang termurah tapi setiap gigitannya sangat berharga anda tidak membayar untuk pelapisan atau suasana anda membayar untuk rasa yang melekat pada anda jika anda berada di tomohon dan melewatkan ini anda mengacau bintang tidak ada catatan pergi saja,5,09/20/2025 16:21:57,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Farensi Venrica,pertama kali coba di tempat ini kcwa si ddtg masih sore masih fruk belum tengah malam bru penyajian buruk sekali bgtu rb porsi bru nya sayor sudah asam nasi dingin begitukah mmg pesanannya atau bgmna kah terlalu besar ekspektasi makan disini bukan tidak mampu mau bli tapi lenkali klo kualitas produk sudah tidak layak jangan di jual ini manusiaaa bukan hewan hewan saja di kasih makan yang bagus masa mau sajikan ke customer beri yg jelek bgni tolong tim resto evaluasi lagi org dapur trkait service excellent nya jgn cuma perhatikan penjualan bru tidak perhatikan kepuasan pelanggan aplgi ini restoran bukan toko sembako,1,09/16/2025 17:23:49,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Junaidy Weken,buruk dluan order sdh di bayar kemudian byk yg baru datang dilayani kurang lebih jam menunggu dan tiba dibilang habis,1,09/05/2025 11:13:57,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,lily pijoh,cita rasa rageynya tidak berubah masih enak seperti yg lalu makin praktis krn mkn di mobil,5,07/13/2025 23:43:44,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Alfredo Hrv,rageynya enak tapi lumayan mahal,5,07/06/2025 14:15:41,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Puput Loong,rasa rageynya masih tetap sama daging babinya sangat lembut kulitnya bisa digigit dan dikunyah dengan mudah opsi makan menu babi yg sangat sulit ditolak kalau pergi ke tomohon dan sekitarnya,5,07/04/2025 02:23:13,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,harianto wardoyo,bisa di coba ragey nya enak,5,06/23/2025 02:17:33,ChIJU6vnbhFthzIRj7_7m-LW7fA
Ragey Von Von,,Daniel Judah,tidak diragukan lagi tempat terbaik untuk makan ragey di sekitar kawasan tomohon rageynya renyah dan enak ragey sungguh luar biasa dan menakjubkan tempat ini juga terbuka hingga malam hari sehingga anda dapat memuaskan rasa lapar anda di sini pada malam hari kemarahan itu luar biasa tempat ini memiliki tempat parkir tempatnya tidak terlalu ramai pada malam hari,5,06/03/2025 09:23:01,ChIJU6vnbhFthzIRj7_7m-LW7fA
