review_rating,satisfaction_raw_M,customer_satisfaction_M,service_quality_X
4,-1.0,-1,0
4,-16.0,-1,-1
5,-22.0,-1,-1
5,2.0,1,0
5,-16.0,-1,-1
1,-6.0,-1,0
5,-24.0,-1,-1
1,-20.0,-1,-1
1,-14.0,-1,-1
5,4.0,1,0
5,-5.0,-1,0
5,-16.0,-1,0
5,-5.0,-1,0
5,-18.0,-1,-1
5,-47.0,-1,-1
5,-16.0,-1,-1
1,-4.0,-1,-1
4,-12.0,-1,0
1,-3.0,-1,-1
4,5.0,1,1
5,-10.0,-1,0
4,-7.0,-1,0
1,-10.0,-1,-1
5,-6.0,-1,0
5,5.0,1,0
4,-15.0,-1,0
5,-4.0,-1,-1
5,-5.0,-1,-1
5,0.0,0,0
5,-6.0,-1,-1
5,-5.0,-1,-1
2,-10.0,-1,-1
1,-3.0,-1,-1
5,-2.0,-1,-1
5,-4.0,-1,0
5,0.0,0,0
5,-3.0,-1,-1
5,-13.0,-1,-1
5,-4.0,-1,-1
5,-5.0,-1,-1
1,-21.0,-1,-1
1,-32.0,-1,-1
5,16.0,1,0
1,-22.0,-1,-1
4,0.0,0,0
5,-8.0,-1,0
5,-2.0,-1,-1
4,1.0,1,1
4,-5.0,-1,0
1,-20.0,-1,0
5,-3.0,-1,1
5,-1.0,-1,0
4,-8.0,-1,-1
5,17.0,1,1
5,0.0,0,0
5,-1.0,-1,0
5,-12.0,-1,-1
2,-8.0,-1,0
5,-21.0,-1,-1
4,-4.0,-1,0
4,-11.0,-1,-1
2,-11.0,-1,0
5,-5.0,-1,0
5,-1.0,-1,0
5,-14.0,-1,0
4,-14.0,-1,-1
5,12.0,1,1
4,2.0,1,1
5,2.0,1,0
4,0.0,0,0
5,-7.0,-1,-1
4,-6.0,-1,0
5,-11.0,-1,0
5,-5.0,-1,-1
4,-8.0,-1,0
5,-8.0,-1,0
1,-5.0,-1,0
4,2.0,1,0
4,0.0,0,0
5,-12.0,-1,0
4,-9.0,-1,-1
5,3.0,1,0
1,-13.0,-1,-1
4,5.0,1,0
5,-11.0,-1,0
4,-1.0,-1,0
4,-12.0,-1,0
5,-6.0,-1,0
5,-12.0,-1,-1
5,10.0,1,0
4,0.0,0,0
5,-7.0,-1,-1
3,-10.0,-1,0
5,-10.0,-1,-1
5,-1.0,-1,-1
5,-6.0,-1,-1
5,-2.0,-1,0
5,1.0,1,0
5,-1.0,-1,-1
5,-9.0,-1,-1
5,-5.0,-1,-1
4,0.0,0,0
5,-3.0,-1,-1
5,7.0,1,0
5,8.0,1,0
5,-3.0,-1,0
1,-9.0,-1,0
5,-7.0,-1,-1
3,-2.0,-1,-1
5,-6.0,-1,-1
5,-5.0,-1,0
3,7.0,1,0
5,-1.0,-1,-1
5,2.0,1,1
5,-3.0,-1,-1
5,-6.0,-1,-1
5,-3.0,-1,-1
3,-11.0,-1,0
5,-6.0,-1,0
1,-14.0,-1,-1
4,-7.0,-1,0
5,-6.0,-1,0
1,-45.0,-1,-1
4,-44.0,-1,-1
5,0.0,0,0
5,-28.0,-1,-1
1,-18.0,-1,0
5,13.0,1,0
3,-14.0,-1,-1
1,-17.0,-1,-1
5,-8.0,-1,-1
5,-5.0,-1,-1
4,-34.0,-1,-1
1,-5.0,-1,-1
4,-11.0,-1,-1
1,-23.0,-1,-1
5,-11.0,-1,-1
5,-1.0,-1,0
3,-2.0,-1,0
2,-38.0,-1,-1
5,-12.0,-1,-1
5,-7.0,-1,0
5,-16.0,-1,1
1,-33.0,-1,-1
5,-7.0,-1,-1
5,-5.0,-1,0
4,-5.0,-1,0
5,-20.0,-1,-1
5,-18.0,-1,0
5,-19.0,-1,0
5,-5.0,-1,0
4,-5.0,-1,0
4,-6.0,-1,-1
5,-9.0,-1,1
5,-2.0,-1,-1
5,2.0,1,0
5,2.0,1,0
4,-31.0,-1,0
4,4.0,1,0
5,-3.0,-1,0
5,-2.0,-1,1
5,3.0,1,1
5,-7.0,-1,0
5,-14.0,-1,-1
1,-14.0,-1,-1
5,3.0,1,-1
5,-5.0,-1,0
5,-25.0,-1,1
5,-5.0,-1,-1
4,-24.0,-1,-1
5,-11.0,-1,1
5,-5.0,-1,0
5,-12.0,-1,-1
4,4.0,1,1
5,-5.0,-1,-1
3,-8.0,-1,-1
4,0.0,0,0
5,0.0,0,0
5,-10.0,-1,0
5,0.0,0,1
5,-20.0,-1,1
5,-8.0,-1,0
4,-5.0,-1,0
5,2.0,1,1
4,0.0,0,0
5,1.0,1,0
5,-9.0,-1,0
4,-5.0,-1,-1
3,-4.0,-1,0
3,8.0,1,-1
5,-1.0,-1,0
1,-12.0,-1,-1
1,-18.0,-1,-1
4,-25.0,-1,-1
5,3.0,1,0
5,-8.0,-1,0
5,-15.0,-1,-1
5,5.0,1,0
1,-4.0,-1,-1
5,47.0,1,1
2,-3.0,-1,-1
4,-24.0,-1,-1
4,-22.0,-1,0
5,-34.0,-1,-1
5,-3.0,-1,0
4,-50.0,-1,-1
5,-4.0,-1,0
4,3.0,1,0
4,-1.0,-1,1
5,5.0,1,1
2,-7.0,-1,0
4,2.0,1,0
5,-6.0,-1,-1
5,4.0,1,1
5,-16.0,-1,-1
5,-8.0,-1,0
5,-14.0,-1,0
5,-29.0,-1,0
4,-26.0,-1,0
1,-22.0,-1,-1
5,4.0,1,1
4,-8.0,-1,-1
5,3.0,1,0
5,-28.0,-1,-1
4,-11.0,-1,-1
2,-6.0,-1,-1
2,-5.0,-1,-1
5,3.0,1,0
4,-11.0,-1,-1
5,-4.0,-1,-1
2,-16.0,-1,-1
5,-9.0,-1,-1
4,-13.0,-1,1
5,-10.0,-1,-1
2,-28.0,-1,-1
4,-8.0,-1,-1
5,-16.0,-1,0
1,-4.0,-1,-1
2,-20.0,-1,-1
4,0.0,0,0
5,4.0,1,0
3,-3.0,-1,0
5,1.0,1,0
4,1.0,1,0
5,0.0,0,0
5,-11.0,-1,0
3,-3.0,-1,-1
5,-1.0,-1,0
5,8.0,1,0
5,-10.0,-1,0
4,-2.0,-1,0
5,-7.0,-1,0
5,-1.0,-1,0
3,-3.0,-1,0
4,-23.0,-1,-1
4,-6.0,-1,0
4,-8.0,-1,-1
3,-13.0,-1,-1
5,2.0,1,0
5,-40.0,-1,-1
5,-1.0,-1,0
5,-6.0,-1,-1
5,-1.0,-1,0
5,4.0,1,1
5,-7.0,-1,0
5,-8.0,-1,0
5,-4.0,-1,0
1,-21.0,-1,-1
5,-2.0,-1,-1
1,-2.0,-1,-1
2,-4.0,-1,-1
5,3.0,1,0
4,-7.0,-1,0
3,-6.0,-1,0
5,-9.0,-1,0
5,-11.0,-1,0
5,-3.0,-1,0
3,-14.0,-1,-1
5,-27.0,-1,-1
1,-25.0,-1,-1
5,1.0,1,0
1,-48.0,-1,-1
5,4.0,1,0
5,-8.0,-1,0
5,-1.0,-1,-1
5,-2.0,-1,-1
5,-9.0,-1,-1
5,-4.0,-1,0
1,-10.0,-1,0
5,-13.0,-1,-1
5,-53.0,-1,-1
4,1.0,1,-1
5,12.0,1,1
5,-4.0,-1,0
5,-4.0,-1,0
4,-1.0,-1,0
5,1.0,1,0
5,0.0,0,0
5,2.0,1,0
5,5.0,1,0
5,-10.0,-1,-1
5,0.0,0,0
4,-3.0,-1,-1
1,-3.0,-1,-1
5,-2.0,-1,-1
4,-3.0,-1,0
5,-8.0,-1,-1
5,-2.0,-1,-1
5,-7.0,-1,-1
1,-11.0,-1,-1
1,-1.0,-1,-1
1,-12.0,-1,-1
2,-2.0,-1,0
5,-7.0,-1,-1
4,-8.0,-1,0
5,9.0,1,-1
5,-12.0,-1,0
2,-3.0,-1,-1
5,-9.0,-1,0
5,-10.0,-1,-1
1,-6.0,-1,-1
5,-2.0,-1,-1
1,-4.0,-1,-1
4,-2.0,-1,-1
5,-6.0,-1,-1
4,-4.0,-1,-1
5,-9.0,-1,0
5,-3.0,-1,0
1,-14.0,-1,-1
5,-17.0,-1,0
4,-3.0,-1,1
5,0.0,0,0
4,0.0,0,0
5,-7.0,-1,0
5,3.0,1,0
4,-10.0,-1,0
5,-3.0,-1,0
5,-1.0,-1,0
5,-1.0,-1,-1
5,-3.0,-1,0
5,-2.0,-1,-1
5,9.0,1,0
5,7.0,1,1
5,-5.0,-1,0
5,-6.0,-1,-1
5,-4.0,-1,-1
5,-1.0,-1,0
3,-7.0,-1,-1
5,3.0,1,0
4,-3.0,-1,-1
5,-12.0,-1,-1
1,-17.0,-1,-1
1,-6.0,-1,-1
1,-25.0,-1,-1
5,-17.0,-1,-1
1,-3.0,-1,-1
1,-2.0,-1,-1
1,-4.0,-1,-1
5,-5.0,-1,0
2,-9.0,-1,-1
2,-53.0,-1,-1
5,-5.0,-1,0
4,-5.0,-1,0
5,3.0,1,1
5,-1.0,-1,0
1,-14.0,-1,-1
4,-2.0,-1,0
5,-18.0,-1,-1
5,-20.0,-1,0
5,2.0,1,0
5,3.0,1,1
5,-4.0,-1,0
5,-2.0,-1,0
4,-4.0,-1,0
4,-3.0,-1,0
4,-23.0,-1,-1
5,-1.0,-1,0
5,-19.0,-1,0
5,-28.0,-1,-1
5,-8.0,-1,0
1,-2.0,-1,-1
5,-28.0,-1,-1
4,-11.0,-1,0
5,-2.0,-1,-1
5,-6.0,-1,0
5,1.0,1,0
1,-4.0,-1,0
5,-3.0,-1,0
4,-8.0,-1,0
5,-12.0,-1,0
5,-10.0,-1,-1
5,1.0,1,0
5,-1.0,-1,0
5,12.0,1,1
5,-10.0,-1,-1
5,-7.0,-1,-1
5,-19.0,-1,0
5,3.0,1,0
5,3.0,1,1
5,-4.0,-1,0
5,5.0,1,0
1,-41.0,-1,-1
5,-7.0,-1,0
5,-2.0,-1,0
1,-12.0,-1,-1
5,-2.0,-1,0
1,-18.0,-1,-1
4,-17.0,-1,0
5,-6.0,-1,1
4,-15.0,-1,-1
5,-3.0,-1,-1
5,2.0,1,0
5,-2.0,-1,0
5,-6.0,-1,0
5,-10.0,-1,-1
5,-1.0,-1,0
3,-12.0,-1,-1
5,-19.0,-1,-1
5,-10.0,-1,-1
