word,frequency
makan,695
enak,453
tidak,382
layan,280
yg,159
bagus,155
nya,142
kopi,128
menu,112
nyaman,112
ramah,111
pesan,107
harga,104
suasana,100
manado,99
nasi,83
babi,82
goreng,82
jam,80
minum,76
banget,75
ikan,69
daging,68
pilih,67
cepat,65
cocok,65
suka,63
bersih,61
tomohon,60
saji,59
nikmat,58
orang,57
milik,56
kurang,54
rekomendasi,54
tuna,53
pandang,53
sate,47
coba,45
restoran,45
ayam,45
kota,45
keluarga,45
indah,45
bakar,43
tunggu,43
pas,42
mie,42
malam,41
parkir,41
sedia,39
sambal,38
kali,38
mantap,36
alam,36
lokasi,36
lumayan,35
buruk,34
staf,34
porsi,33
siang,32
lezat,32
lokal,32
kalo,31
jangkau,31
kasih,30
khas,30
rumah,30
terima,30
senang,30
sayang,30
ruang,30
kuning,30
kasir,29
resto,29
segar,29
anak,29
ok,29
luas,29
bitung,29
jalan,29
gunung,29
kunjung,28
oke,28
hidang,28
aja,26
sejuk,26
beda,26
kamar,26
dingin,25
mahal,25
kesini,25
nongkrong,25
masuk,25
mes,25
cafe,25
menit,24
teman,24
bubur,23
taman,23
ba,22
sayur,22
the,22
kecewa,21
tawar,21
belum,21
manis,21
sesuai,21
bukan,21
duduk,21
langsung,21
rica,21
bawa,21
santai,21
foto,21
lokon,21
ragey,20
murah,20
bayar,20
puas,20
order,20
bilang,20
air,20
ya,20
hotel,20
meja,20
buka,19
habis,19
mampir,19
masakan,19
pisang,19
sarap,19
sup,18
panas,18
pergi,18
langgan,18
jg,18
cantik,18
recommended,18
panggang,17
kualitas,17
bunga,17
bumbu,17
sempurna,17
rahang,17
kerja,17
tikus,17
pedas,17
tanam,17
lengkap,16
cari,16
kangkung,16
gurih,16
bintang,16
klo,16
jangan,16
jual,16
perhati,16
minahasa,16
food,16
favorit,16
unjung,16
kuah,16
tp,16
udara,16
tenang,16
benarbenar,16
asin,16
kebun,16
tutu,16
kafe,16
ambil,15
halal,15
utama,15
area,15
butuh,15
view,15
lantai,15
utk,15
bgt,15
proses,15
temu,14
layak,14
mobil,14
telur,14
best,14
masak,14
sapi,14
super,14
wajib,14
santa,14
kumpul,14
tinggal,13
service,13
lambat,13
tradisional,13
paket,13
tau,13
teh,13
kosong,13
